subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_198,16,2.8067,2.3632,0.2886,2.2599,0.2981,5.5206
fCMR_Siemens_018,17,3.1059,2.0913,0.364,1.8564,0.3964,7.4664
fCMR_Siemens_113,17,2.9478,2.005,0.0372,3.7655,0.1038,8.724
fCMR_Siemens_027,17,2.2485,2.6442,0.2291,1.6421,0.2984,3.9327
fCMR_Siemens_006,17,1.2741,2.7194,0.7096,2.1697,1.1288,7.5672
fCMR_Siemens_144,17,2.3848,2.6989,0.3379,2.2728,0.3832,6.0292
fCMR_Siemens_068,17,1.9351,2.8141,0.8128,0.6523,0.8851,3.3751
fCMR_Siemens_198,17,2.346,2.8881,0.3593,1.8429,0.3717,4.1814
fCMR_Siemens_018,18,3.0206,2.6229,0.6523,1.4729,1.1676,5.0479
fCMR_Siemens_113,18,3.0954,3.2779,0.0812,10.4237,0.0948,21.5376
fCMR_Siemens_027,18,2.5048,2.8167,0.3474,4.6443,0.3642,13.0985
fCMR_Siemens_006,18,1.8831,2.9773,0.3763,3.1307,0.4966,11.2159
fCMR_Siemens_144,18,1.4594,2.7995,0.1247,2.6168,0.1598,6.7996
fCMR_Siemens_068,18,2.3819,3.0389,0.779,0.444,0.7918,3.0168
fCMR_Siemens_198,18,3.0398,2.7409,0.2577,2.0151,0.2787,5.1046
fCMR_Siemens_018,19,2.0013,2.3013,0.2982,1.2411,0.3461,3.9705
fCMR_Siemens_113,19,3,2.4023,0.1437,12.0911,0.1952,27.1304
fCMR_Siemens_027,19,2.3763,1.9304,0.127,2.075,0.2156,5.3565
fCMR_Siemens_006,19,2.6178,2.9366,0.2025,4.0279,0.2255,9.7994
fCMR_Siemens_144,19,1.8828,2.0755,0.0898,0.9149,0.7274,6.1313
fCMR_Siemens_068,19,0.9968,2.5302,0.607,1.212,0.6226,4.4457
fCMR_Siemens_198,19,2.9908,2.5726,0.1153,0.7132,0.1734,3.0922
fCMR_Siemens_018,20,3.101,2.561,0.2438,2.0458,0.3111,5.7897
fCMR_Siemens_113,20,2.4343,2.3375,0.0629,3.723,0.1148,8.4704
fCMR_Siemens_027,20,2.8176,3.4353,0.3588,4.4902,0.3781,11.816
fCMR_Siemens_006,20,2.769,3.0514,0.2986,1.8638,0.9103,8.2712
fCMR_Siemens_144,20,1.2838,1.9633,0.1928,2.062,0.2386,5.5895
fCMR_Siemens_068,20,2.6859,2.7749,0.6923,0.4855,0.7017,3.2753
fCMR_Siemens_198,20,2.3322,2.1564,0.208,0.6925,0.2382,2.7061
fCMR_Siemens_018,21,2.5937,0.5292,0.4666,0.5237,0.5648,3.6767
fCMR_Siemens_113,21,3.0412,2.3987,0.0219,5.9242,0.1276,13.7587
fCMR_Siemens_027,21,2.5906,2.2903,0.1663,0.7543,0.5344,3.5577
fCMR_Siemens_006,21,1.7936,2.1087,0.1908,4.1859,0.2751,10.756
fCMR_Siemens_144,21,1.775,2.9489,0.1273,1.4915,0.2076,4.7657
fCMR_Siemens_068,21,2.2546,2.9437,0.3679,2.5486,0.4456,8.844
fCMR_Siemens_198,21,2.4948,2.0292,0.252,1.5927,0.2576,4.077
fCMR_Siemens_018,22,2.1347,2.034,0.3318,1.9589,0.3601,6.2402
fCMR_Siemens_113,22,1.5523,1.8928,0.097,5.2753,0.1127,12.668
fCMR_Siemens_027,22,2.8689,2.7349,0.1398,1.8719,0.2139,4.8862
fCMR_Siemens_006,22,1.711,2.3756,0.0633,4.2434,0.1344,11.6908
fCMR_Siemens_144,22,2.639,2.3974,0.1417,0.093,0.7625,5.1508
fCMR_Siemens_068,22,3.0081,2.2715,0.5282,3.3108,0.5476,9.0712
fCMR_Siemens_198,22,1.4319,3.1578,0.2076,1.1305,0.2293,3.2226
fCMR_Siemens_018,23,1.0187,2.5841,0.2938,1.0728,0.3163,3.5455
fCMR_Siemens_113,23,1.7515,2.261,0.0935,6.1193,0.1459,13.4923
fCMR_Siemens_027,23,1.916,1.8615,0.1429,1.8075,0.2004,6.8056
fCMR_Siemens_006,23,2.6023,3.3892,0.8289,2.777,1.2721,12.2697
fCMR_Siemens_144,23,2.3706,3.0276,0.1055,2.0096,0.1379,5.6242
fCMR_Siemens_068,23,2.6483,2.838,0.3715,5.1544,0.4281,13.7975
fCMR_Siemens_198,23,2.7007,2.9163,0.2306,1.2324,0.2436,3.7606
fCMR_Siemens_018,24,1.5799,3.0452,0.3652,1.6256,0.3948,3.8594
fCMR_Siemens_113,24,2.8435,2.1167,0.141,6.5153,0.1629,15.1146
fCMR_Siemens_027,24,1.8045,2.3731,0.2273,1.9844,0.3037,5.6295
fCMR_Siemens_006,24,2.2531,3.1525,0.2991,6.2598,0.7032,16.31
fCMR_Siemens_144,24,2.6494,2.9427,0.072,0.8067,0.3573,4.6844
fCMR_Siemens_068,24,1.3136,1.5997,0.4224,3.2398,0.452,9.02
fCMR_Siemens_198,24,2.9783,0.9499,0.1925,0.9672,0.2027,3.3962
fCMR_Siemens_018,25,2.1181,2.0601,0.2751,1.1464,0.3243,3.481
fCMR_Siemens_113,25,0.9723,1.3809,0.0737,7.2961,0.1185,16.4485
fCMR_Siemens_027,25,2.3456,3.1296,0.2693,0.9077,0.2843,4.2761
fCMR_Siemens_006,25,1.5367,2.7396,0.3389,0.572,0.8084,6.7389
fCMR_Siemens_144,25,1.2567,1.4938,0.1743,2.5586,0.2011,6.1135
fCMR_Siemens_068,25,1.235,2.7999,0.7926,0.2456,0.8164,2.8942
