subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_094,6,0.9968,2.5302,0.1414,1.778,0.1805,4.4198
fCMR_Philips_136,6,2.9908,2.5726,0.14,0.3856,0.1931,1.2254
fCMR_Philips_087,6,3.101,2.561,0.3745,3.9947,0.4002,8.661
fCMR_Philips_003,6,2.4343,2.3375,0.2964,0.8929,0.3081,2.9873
fCMR_Philips_047,6,2.8176,3.4353,0.2936,0.9888,0.31,3.0472
fCMR_Philips_057,6,2.769,3.0514,0.2841,0.5045,0.2913,1.3335
fCMR_Philips_097,6,1.2838,1.9633,0.2707,0.8637,0.3049,2.2943
fCMR_Philips_070,6,2.6859,2.7749,0.5285,2.6332,0.5399,5.8079
fCMR_Philips_068,6,2.3322,2.1564,0.1722,0.8607,0.1913,1.9866
fCMR_Philips_117,7,2.5937,0.5292,0.1515,0.5486,0.2178,1.5136
fCMR_Philips_002,7,3.0412,2.3987,0.2272,1.7294,0.2612,3.974
fCMR_Philips_052,7,2.5906,2.2903,0.1855,0.1665,0.2344,1.1012
fCMR_Philips_123,7,1.7936,2.1087,0.1235,0.4556,0.1773,1.5435
fCMR_Philips_079,7,1.775,2.9489,0.1731,1.7022,0.2186,3.7552
fCMR_Philips_041,7,2.2546,2.9437,0.196,0.6954,0.221,1.9123
fCMR_Philips_090,7,2.4948,2.0292,0.1865,1.8377,0.2106,3.9559
fCMR_Philips_114,7,2.1347,2.034,0.2743,2.214,0.2893,5.0782
fCMR_Philips_065,7,1.5523,1.8928,0.1497,0.9,0.2352,2.7471
fCMR_Philips_132,7,2.8689,2.7349,0.2452,2.7541,0.2751,5.9297
fCMR_Philips_031,7,1.711,2.3756,0.1319,1.5862,0.1592,3.7283
fCMR_Philips_104,7,2.639,2.3974,0.1079,3.8131,0.208,8.972
fCMR_Philips_094,7,3.0081,2.2715,0.1978,0.7014,0.2182,2.0312
fCMR_Philips_136,7,1.4319,3.1578,0.1417,0.3637,0.1997,1.0118
fCMR_Philips_087,7,1.0187,2.5841,0.551,1.9896,0.5567,4.809
