subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_068,16,2.5911,2.2206,1.4578,3.2729,1.5642,8.401
fCMR_Siemens_198,16,2.8067,2.3632,0.2645,4.6931,0.4003,11.5426
fCMR_Siemens_018,17,3.1059,2.0913,0.9737,3.1745,0.9826,6.7685
fCMR_Siemens_113,17,2.9478,2.005,0.1664,7.3944,0.2711,16.5732
fCMR_Siemens_027,17,2.2485,2.6442,1.1194,3.7409,1.1643,16.0779
fCMR_Siemens_006,17,1.2741,2.7194,2.6286,12.8483,2.632,28.5119
fCMR_Siemens_144,17,2.3848,2.6989,3.1323,1.9996,2.72,8.8244
fCMR_Siemens_068,17,1.9351,2.8141,1.2098,3.6685,1.2754,11.1252
fCMR_Siemens_198,17,2.346,2.8881,0.7434,8.7258,1.5358,18.9762
fCMR_Siemens_018,18,3.0206,2.6229,0.7594,3.8345,1.1748,9.0391
fCMR_Siemens_113,18,3.0954,3.2779,0.5945,25.3804,0.6116,51.2428
fCMR_Siemens_027,18,2.5048,2.8167,1.8346,2.5075,1.8952,8.9147
fCMR_Siemens_006,18,1.8831,2.9773,2.5428,7.6482,2.5477,18.4772
fCMR_Siemens_144,18,1.4594,2.7995,1.1398,3.3739,1.6558,9.8032
fCMR_Siemens_068,18,2.3819,3.0389,1.0108,2.1557,1.2491,5.9823
fCMR_Siemens_198,18,3.0398,2.7409,0.3342,6.0948,0.4003,14.9498
fCMR_Siemens_018,19,2.0013,2.3013,0.8562,2.0811,1.5217,6.5656
fCMR_Siemens_113,19,3,2.4023,0.1918,23.0329,0.2373,47.3218
fCMR_Siemens_027,19,2.3763,1.9304,1.1908,0.9443,1.3908,4.8825
fCMR_Siemens_006,19,2.6178,2.9366,1.8663,4.7826,2.0388,15.2108
fCMR_Siemens_144,19,1.8828,2.0755,2.4964,4.5204,2.0942,11.118
fCMR_Siemens_068,19,0.9968,2.5302,1.4235,1.7799,1.579,6.8601
fCMR_Siemens_198,19,2.9908,2.5726,0.4583,5.8547,0.8576,15.598
fCMR_Siemens_018,20,3.101,2.561,0.4129,3.3373,0.4394,7.9728
fCMR_Siemens_113,20,2.4343,2.3375,0.3738,17.1968,0.7083,41.1391
fCMR_Siemens_027,20,2.8176,3.4353,1.4645,5.5869,1.5209,13.3003
fCMR_Siemens_006,20,2.769,3.0514,2.344,3.2683,2.3544,9.1744
fCMR_Siemens_144,20,1.2838,1.9633,2.697,6.1689,1.9688,14.7061
fCMR_Siemens_068,20,2.6859,2.7749,1.0806,4.7847,1.4479,12.8158
fCMR_Siemens_198,20,2.3322,2.1564,0.6147,2.2659,1.0425,8.0762
fCMR_Siemens_018,21,2.5937,0.5292,0.6033,1.2862,0.6148,3.2794
fCMR_Siemens_113,21,3.0412,2.3987,0.1593,4.2666,0.2368,10.65
fCMR_Siemens_027,21,2.5906,2.2903,1.3041,5.6503,1.3546,12.5107
fCMR_Siemens_006,21,1.7936,2.1087,1.9821,4.2221,2.0194,10.1505
fCMR_Siemens_144,21,1.775,2.9489,1.8015,3.7981,1.907,13.4411
fCMR_Siemens_068,21,2.2546,2.9437,0.8624,0.0345,1.2425,6.1887
fCMR_Siemens_198,21,2.4948,2.0292,0.2718,0.9643,0.3207,3.3496
fCMR_Siemens_018,22,2.1347,2.034,0.7859,3.5696,0.7903,9.309
fCMR_Siemens_113,22,1.5523,1.8928,0.243,13.5376,0.2965,28.6724
fCMR_Siemens_027,22,2.8689,2.7349,1.286,0.5562,1.5393,4.4025
fCMR_Siemens_006,22,1.711,2.3756,2.0756,12.3728,2.1881,26.726
fCMR_Siemens_144,22,2.639,2.3974,2.6881,3.8099,2.6904,9.1161
fCMR_Siemens_068,22,3.0081,2.2715,1.2646,4.4258,1.3437,11.0847
fCMR_Siemens_198,22,1.4319,3.1578,0.1129,0.9471,0.3864,6.2122
fCMR_Siemens_018,23,1.0187,2.5841,0.6553,1.8817,1.1243,5.2479
fCMR_Siemens_113,23,1.7515,2.261,0.3938,16.5839,0.4222,34.5409
fCMR_Siemens_027,23,1.916,1.8615,1.316,0.3548,1.3556,2.7461
fCMR_Siemens_006,23,2.6023,3.3892,2.151,6.1696,2.1628,19.4663
fCMR_Siemens_144,23,2.3706,3.0276,2.9274,5.2121,2.7735,14.3745
fCMR_Siemens_068,23,2.6483,2.838,1.3357,0.5911,1.4574,4.526
fCMR_Siemens_198,23,2.7007,2.9163,0.7505,4.3127,1.1449,10.7805
fCMR_Siemens_018,24,1.5799,3.0452,0.6379,4.2643,0.6553,10.1064
fCMR_Siemens_113,24,2.8435,2.1167,0.5049,20.2225,0.5729,42.4757
fCMR_Siemens_027,24,1.8045,2.3731,2.2991,5.2845,2.3195,14.2494
fCMR_Siemens_006,24,2.2531,3.1525,2.583,6.1384,2.1576,15.1214
fCMR_Siemens_144,24,2.6494,2.9427,2.714,2.9223,2.3701,8.9656
fCMR_Siemens_068,24,1.3136,1.5997,1.0628,0.4329,1.224,2.1005
fCMR_Siemens_198,24,2.9783,0.9499,0.2648,8.0148,0.4621,17.4519
fCMR_Siemens_018,25,2.1181,2.0601,0.5962,2.1836,0.6136,5.8964
fCMR_Siemens_113,25,0.9723,1.3809,0.187,10.5713,0.3063,23.6244
fCMR_Siemens_027,25,2.3456,3.1296,1.0788,4.5873,1.0944,9.9912
fCMR_Siemens_006,25,1.5367,2.7396,2.1626,10.3945,2.3017,22.7426
fCMR_Siemens_144,25,1.2567,1.4938,2.8056,5.6628,2.7095,14.7546
fCMR_Siemens_068,25,1.235,2.7999,1.0421,1.0483,1.1176,5.4432
fCMR_Siemens_198,25,2.0643,1.8161,0.3624,5.5418,0.8502,13.4932
fCMR_Siemens_018,26,1.3157,2.6456,0.6038,1.1753,0.6241,2.9693
fCMR_Siemens_113,26,2.7672,2.5346,0.2851,9.6632,0.3449,21.7542
fCMR_Siemens_027,26,2.4685,2.7343,1.5692,2.6504,1.6536,7.2898
fCMR_Siemens_006,26,2.4882,2.0883,2.29,8.9163,2.2994,19.5269
fCMR_Siemens_144,26,2.1237,2.2949,3.01,2.2219,2.8875,5.5559
fCMR_Siemens_068,26,2.8925,1.7255,1.1012,4.327,1.4093,12.4224
fCMR_Siemens_198,26,1.9878,2.8874,0.4096,3.8778,0.5826,13.1754
fCMR_Siemens_018,27,1.5687,2.7388,0.8225,3.906,0.8274,9.266
fCMR_Siemens_113,27,1.4535,2.4271,0.1641,15.6231,0.2455,33.1441
fCMR_Siemens_027,27,1.1276,2.7093,1.9597,1.4594,1.9769,5.6468
fCMR_Siemens_006,27,1.9528,0.7843,1.3,6.7425,1.6294,16.3472
fCMR_Siemens_144,27,1.3717,0.7612,2.8999,5.8559,2.1162,14.4169
fCMR_Siemens_068,27,1.7233,2.5326,1.561,3.913,1.6289,9.8788
fCMR_Siemens_198,27,3.0884,1.2515,0.9367,4.4874,1.2836,11.9856
fCMR_Siemens_018,28,2.9169,2.2641,0.4501,3.5926,1.1105,9.2914
fCMR_Siemens_113,28,2.2551,1.1732,0.495,24.4882,0.5668,51.6344
fCMR_Siemens_027,28,1.9134,2.1414,2.2997,0.5187,2.0674,5.2364
fCMR_Siemens_006,28,1.621,1.8878,2.9749,3.6621,2.8739,9.9838
fCMR_Siemens_144,28,3.0464,2.29,2.8527,5.2461,2.5149,16.5128
fCMR_Siemens_068,28,3.0011,3.5164,1.3902,4.1994,1.4029,10.2878
fCMR_Siemens_198,28,2.4313,3.2521,0.2655,3.5017,0.4303,9.12
fCMR_Siemens_018,29,2.9371,3.8883,0.9062,6.4536,1.3782,15.1983
fCMR_Siemens_113,29,1.6392,3.1828,0.1621,8.4385,0.2072,17.2604
fCMR_Siemens_027,29,2.6518,3.3619,0.7192,6.6622,1.1649,23.1093
fCMR_Siemens_006,29,2.8942,3.1191,2.9245,3.6891,2.6727,10.0007
fCMR_Siemens_144,29,1.8651,2.9115,2.9102,7.1378,2.1988,15.7064
fCMR_Siemens_068,29,3.0276,3.0457,0.9968,0.9305,1.2223,7.567
fCMR_Siemens_198,29,1.5363,3.1075,3.0543,5.8394,2.2383,16.4572
fCMR_Siemens_018,30,2.9117,3.3295,0.756,3.0855,0.7784,8.0828
fCMR_Siemens_113,30,2.9436,1.8089,0.5669,21.1835,0.5805,43.5857
fCMR_Siemens_027,30,0.8878,2.7433,2.7564,5.5218,2.3796,17.0092
fCMR_Siemens_006,30,2.1198,0.489,2.5514,7.0317,2.5235,16.2253
fCMR_Siemens_144,30,2.6745,2.0116,1.9557,7.1974,1.8914,15.6516
fCMR_Siemens_068,30,3.0254,1.8133,2.3758,4.9405,2.4007,18.0774
fCMR_Siemens_198,30,1.7987,2.0138,0.3419,6.0592,0.7162,13.8534
fCMR_Siemens_018,31,2.8737,2.794,0.8608,3.8504,0.8946,8.5337
fCMR_Siemens_113,31,2.5765,2.086,0.4076,13.1849,0.4324,28.5254
fCMR_Siemens_027,31,2.5915,0.2368,1.0478,0.7405,1.3027,5.9599
fCMR_Siemens_006,31,3.069,2.7241,2.76,7.2648,2.436,19.1368
fCMR_Siemens_144,31,2.3907,3.9404,2.8578,3.1726,1.8868,7.9627
fCMR_Siemens_068,31,2.1639,2.918,1.3787,5.7999,1.4694,12.6982
fCMR_Siemens_198,31,2.5281,1.3241,1.2264,2.5408,1.4119,6.2786
fCMR_Siemens_018,32,3.0581,2.688,0.6173,2.1183,0.6786,5.1748
fCMR_Siemens_113,32,1.7888,2.7443,0.0596,5.1076,0.2037,10.992
fCMR_Siemens_027,32,2.5548,2.8747,1.5699,1.2568,1.6649,4.2808
fCMR_Siemens_006,32,2.9178,2.8518,2.0507,2.1287,2.098,6.0974
fCMR_Siemens_144,32,2.4055,1.7805,2.5609,4.4983,2.1463,11.553
fCMR_Siemens_068,32,2.3264,2.3596,0.6411,2.0698,1.1426,8.903
fCMR_Siemens_198,32,1.2908,2.6499,0.5173,1.0194,0.6779,3.7725
fCMR_Siemens_018,33,1.8664,3.0474,0.7784,2.0836,0.7904,4.8178
fCMR_Siemens_113,33,2.7027,2.9494,0.075,16.1229,0.1313,33.6847
fCMR_Siemens_027,33,2.6554,0.5593,1.4192,1.8739,1.4703,6.6422
fCMR_Siemens_006,33,1.3358,2.7896,2.4605,6.1661,2.4708,14.9013
fCMR_Siemens_144,33,2.0391,2.3985,2.5889,4.1608,2.3403,10.3176
fCMR_Siemens_068,33,1.3154,3.83,0.8125,2.145,1.1222,8.6358
fCMR_Siemens_198,33,2.7254,2.5748,0.4527,1.5589,0.8266,5.3322
fCMR_Siemens_018,34,2.4187,1.8465,0.4148,2.6738,0.5294,6.0509
fCMR_Siemens_113,34,1.6994,2.888,0.1926,18.1703,0.2567,37.7222
fCMR_Siemens_027,34,1.9415,0.6014,2.0221,1.7549,2.0173,6.2292
fCMR_Siemens_006,34,1.4279,1.8978,2.0244,5.647,2.0772,17.2714
fCMR_Siemens_144,34,1.3216,1.8861,3.0953,5.3021,2.5984,13.6322
fCMR_Siemens_068,34,2.1782,2.4025,0.8377,3.4466,1.629,10.286
fCMR_Siemens_198,34,2.7312,1.1687,0.3304,2.7253,0.3602,6.9067
fCMR_Siemens_018,35,1.6273,3.0746,0.4361,2.4101,0.4643,5.5918
fCMR_Siemens_113,35,1.9824,1.9487,0.2322,10.6661,0.242,22.7366
fCMR_Siemens_027,35,1.9163,2.0588,1.2091,1.3099,1.3793,5.7414
fCMR_Siemens_006,35,2.2833,2.0026,2.8591,3.0336,2.7018,8.3326
fCMR_Siemens_144,35,2.3504,2.5343,2.745,6.2364,2.5884,14.8059
fCMR_Siemens_068,35,2.4089,2.1113,1.0439,1.7425,1.3897,9.679
fCMR_Siemens_198,35,2.3849,1.6664,2.5187,11.5247,1.8838,25.1586
fCMR_Siemens_018,36,2.6071,2.2372,0.619,2.4551,0.6387,8.5581
fCMR_Siemens_113,36,1.5838,1.4161,0.0829,8.937,0.1473,19.2083
fCMR_Siemens_027,36,1.881,2.7293,1.4846,0.4407,1.5453,4.6414
fCMR_Siemens_006,36,2.4699,2.1522,2.6298,2.3198,2.6383,7.3318
fCMR_Siemens_144,36,0.9775,2.7204,2.9403,9.1564,2.9424,21.0459
fCMR_Siemens_068,36,2.885,2.6887,1.2005,4.8122,1.3952,11.3448
fCMR_Siemens_198,36,1.1811,3.3919,0.1558,5.9571,0.6636,14.7156
fCMR_Siemens_018,37,3.0948,1.3257,0.8929,4.7887,0.912,11.3496
fCMR_Siemens_113,37,0.9389,2.3621,0.4525,23.8512,0.4901,48.8134
