subject_id,step,angle,translation,GD_EP,GD_EP_Q,GD_EP_G,CD_EP,CD_EP_Q,CD_EP_G,GD_IP,CD_IP
fCMR_Siemens_006,15,2.0372,2.2006,0.264,0.2639,0.2639,4.7229,4.7229,4.7229,0.2861,11.3108
fCMR_Siemens_144,15,2.9329,2.529,0.1315,0.1315,0.1315,1.4909,1.4909,1.4909,0.1513,3.6228
fCMR_Siemens_068,15,2.6717,2.8841,0.4487,0.4484,0.4484,2.3136,2.3136,2.3136,0.4941,6.8987
fCMR_Siemens_198,15,2.1063,3.5235,0.2042,0.2042,0.2042,1.1441,1.1441,1.1441,0.2275,5.037
fCMR_Siemens_018,16,2.8493,2.6053,0.0393,0.0399,0.0402,0.6454,0.6454,0.6454,0.1367,3.2832
fCMR_Siemens_113,16,2.9813,2.4242,0.1307,0.1307,0.1308,10.1705,10.1705,10.1705,0.153,21.2562
fCMR_Siemens_027,16,3.1118,2.4177,0.1361,0.1356,0.1354,2.8421,2.8421,2.8421,0.2505,7.805
fCMR_Siemens_006,16,2.6184,2.5695,0.2148,0.2161,0.2165,1.1579,1.1579,1.1579,0.3244,5.8027
fCMR_Siemens_144,16,1.477,2.9198,0.19,0.19,0.19,1.9985,1.9985,1.9985,0.2015,5.3228
fCMR_Siemens_068,16,2.5911,2.2206,0.6523,0.6521,0.6521,1.1954,1.1954,1.1954,0.6715,4.697
fCMR_Siemens_198,16,2.8067,2.3632,0.2853,0.2853,0.2853,0.9634,0.9634,0.9634,0.3048,3.3956
fCMR_Siemens_018,17,3.1059,2.0913,0.4124,0.8074,0.4158,1.538,1.538,1.538,0.4492,4.6422
fCMR_Siemens_113,17,2.9478,2.005,0.0453,0.0453,0.0453,4.6957,4.6957,4.6957,0.111,10.4503
fCMR_Siemens_027,17,2.2485,2.6442,0.2245,0.2245,0.2245,1.5517,1.5517,1.5517,0.2489,4.2524
fCMR_Siemens_006,17,1.2741,2.7194,0.2328,0.4146,0.5368,1.7305,1.7305,1.7305,0.8148,6.5423
fCMR_Siemens_144,17,2.3848,2.6989,0.1666,0.5373,0.6423,0.9673,0.9673,0.9673,0.7662,5.5434
fCMR_Siemens_068,17,1.9351,2.8141,0.6563,0.6565,0.6565,1.1832,1.1832,1.1832,0.6693,5.3144
fCMR_Siemens_198,17,2.346,2.8881,0.2981,0.4683,0.5309,1.6352,1.6352,1.6352,0.7668,5.2
fCMR_Siemens_018,18,3.0206,2.6229,0.4072,0.4072,0.4072,1.4762,1.4762,1.4762,0.4698,6.1709
fCMR_Siemens_113,18,3.0954,3.2779,0.0889,0.3018,0.0891,5.1204,5.1204,5.1204,0.144,12.0016
fCMR_Siemens_027,18,2.5048,2.8167,0.1272,0.1272,0.1271,1.7773,1.7773,1.7773,0.148,5.2894
fCMR_Siemens_006,18,1.8831,2.9773,0.4266,1.4415,1.5129,2.5143,2.5143,2.5143,1.4061,13.9642
fCMR_Siemens_144,18,1.4594,2.7995,0.1622,0.1622,0.1622,1.5566,1.5566,1.5566,0.1715,5.3842
fCMR_Siemens_068,18,2.3819,3.0389,0.5376,0.5375,0.5374,0.6246,0.6246,0.6246,0.5524,2.7092
fCMR_Siemens_198,18,3.0398,2.7409,0.1634,0.1634,0.1634,2.0453,2.0453,2.0453,0.2141,6.3856
fCMR_Siemens_018,19,2.0013,2.3013,0.2486,0.0823,0.2507,0.4014,0.4014,0.4014,0.2998,4.1339
fCMR_Siemens_113,19,3,2.4023,0.0919,0.0919,0.0919,7.918,7.918,7.918,0.1472,18.1996
fCMR_Siemens_027,19,2.3763,1.9304,0.0864,0.0864,0.0864,1.6419,1.6419,1.6419,0.1425,5.1861
fCMR_Siemens_006,19,2.6178,2.9366,0.2681,0.2681,0.268,2.4619,2.4619,2.4619,0.2791,6.2314
fCMR_Siemens_144,19,1.8828,2.0755,0.1456,0.1456,0.1456,1.0928,1.0928,1.0928,0.1665,3.1953
fCMR_Siemens_068,19,0.9968,2.5302,0.6625,0.6625,0.6625,1.8657,1.8657,1.8657,0.6717,5.4883
fCMR_Siemens_198,19,2.9908,2.5726,0.1347,0.1365,0.1371,1.2543,1.2543,1.2543,0.3121,5.4812
fCMR_Siemens_018,20,3.101,2.561,0.1751,0.1755,0.1757,1.8063,1.8063,1.8063,0.2566,6.3498
fCMR_Siemens_113,20,2.4343,2.3375,0.0473,0.0473,0.0473,5.0219,5.0219,5.0219,0.1128,10.5727
fCMR_Siemens_027,20,2.8176,3.4353,0.2403,0.2403,0.2403,1.7657,1.7657,1.7657,0.2559,6.7301
fCMR_Siemens_006,20,2.769,3.0514,0.2587,0.6464,0.7556,0.8477,0.8477,0.8477,0.7882,5.325
fCMR_Siemens_144,20,1.2838,1.9633,0.1774,0.1775,0.1775,1.5449,1.5449,1.5449,0.2212,5.0051
fCMR_Siemens_068,20,2.6859,2.7749,0.5191,0.521,0.5217,0.2147,0.2147,0.2147,0.5333,2.3674
fCMR_Siemens_198,20,2.3322,2.1564,0.1251,0.1251,0.1251,0.7069,0.7069,0.7069,0.1811,2.4316
fCMR_Siemens_018,21,2.5937,0.5292,0.3819,0.3837,0.3843,0.8536,0.8536,0.8536,0.4395,3.6738
fCMR_Siemens_113,21,3.0412,2.3987,0.0713,0.0713,0.0713,4.3577,4.3577,4.3577,0.1415,9.5745
fCMR_Siemens_027,21,2.5906,2.2903,0.072,0.072,0.072,1.2111,1.2111,1.2111,0.1162,4.1783
fCMR_Siemens_006,21,1.7936,2.1087,0.2408,0.2796,0.2414,2.2841,2.2841,2.2841,0.2542,6.7005
fCMR_Siemens_144,21,1.775,2.9489,0.0864,0.3363,0.0864,1.7394,1.7394,1.7394,0.1231,4.7746
fCMR_Siemens_068,21,2.2546,2.9437,0.2418,0.2419,0.2419,5.7052,5.7052,5.7052,0.2636,13.7189
fCMR_Siemens_198,21,2.4948,2.0292,0.2649,0.2649,0.2649,1.0383,1.0383,1.0383,0.284,3.489
fCMR_Siemens_018,22,2.1347,2.034,0.1036,0.1032,0.103,1.1976,1.1976,1.1976,0.2275,6.3182
fCMR_Siemens_113,22,1.5523,1.8928,0.0509,0.0509,0.0509,3.8385,3.8385,3.8385,0.0862,8.7611
fCMR_Siemens_027,22,2.8689,2.7349,0.1196,0.1196,0.1196,2.4622,2.4622,2.4622,0.1737,6.5405
fCMR_Siemens_006,22,1.711,2.3756,0.4714,2.2552,1.3415,2.5882,2.5882,2.5882,1.3465,11.5942
fCMR_Siemens_144,22,2.639,2.3974,0.0814,0.0814,0.0814,0.6745,0.6745,0.6745,0.1238,1.7788
fCMR_Siemens_068,22,3.0081,2.2715,0.6216,0.376,0.6228,2.3356,2.3356,2.3356,0.6313,6.748
fCMR_Siemens_198,22,1.4319,3.1578,0.21,0.3649,0.4112,2.5114,2.5114,2.5114,0.5957,13.3356
fCMR_Siemens_018,23,1.0187,2.5841,0.2338,0.2338,0.2338,1.1452,1.1452,1.1452,0.2932,3.2269
fCMR_Siemens_113,23,1.7515,2.261,0.1031,0.0326,0.1032,4.0013,4.0013,4.0013,0.1263,10.0974
fCMR_Siemens_027,23,1.916,1.8615,0.1673,0.1668,0.1666,2.1987,2.1987,2.1987,0.2339,5.6178
fCMR_Siemens_006,23,2.6023,3.3892,0.4252,0.3588,0.8898,2.1666,2.1666,2.1666,0.9249,9.7311
fCMR_Siemens_144,23,2.3706,3.0276,0.1091,0.1091,0.109,1.3433,1.3433,1.3433,0.1758,4.0413
fCMR_Siemens_068,23,2.6483,2.838,0.4442,0.4431,0.4428,2.0401,2.0401,2.0401,0.4878,6.8714
fCMR_Siemens_198,23,2.7007,2.9163,0.2451,0.2452,0.2452,0.4508,0.4508,0.4508,0.262,3.6771
fCMR_Siemens_018,24,1.5799,3.0452,0.2576,0.2734,0.2603,3.2897,3.2897,3.2897,0.3906,9.7676
fCMR_Siemens_113,24,2.8435,2.1167,0.0588,0.0588,0.0588,3.1138,3.1138,3.1138,0.1446,7.7562
fCMR_Siemens_027,24,1.8045,2.3731,0.0908,1.0145,0.0907,1.5496,1.5496,1.5496,0.3671,9.0541
fCMR_Siemens_006,24,2.2531,3.1525,0.4339,0.7172,0.7943,4.4592,4.4592,4.4592,0.8139,11.1437
fCMR_Siemens_144,24,2.6494,2.9427,0.1948,0.3687,0.7321,1.3214,1.3214,1.3214,0.744,5.546
