subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_006,13,2.9288,1.8507,0.4587,4.0968,0.6962,10.772
fCMR_Siemens_144,13,1.5865,1.3412,0.2725,2.2612,0.3499,8.4683
fCMR_Siemens_068,13,0.8898,3.0815,0.3619,4.4326,0.8986,15.7615
fCMR_Siemens_198,13,2.2512,1.9814,0.2386,2.1553,0.2571,5.3951
fCMR_Siemens_018,14,2.6129,2.9887,1.5336,7.4524,1.8281,25.0825
fCMR_Siemens_113,14,2.4285,2.3169,0.0609,4.1319,0.2538,10.3908
fCMR_Siemens_027,14,2.8615,3.0603,0.1764,2.5715,0.2125,6.8191
fCMR_Siemens_006,14,3.05,1.8323,0.439,2.8312,0.9286,13.4637
fCMR_Siemens_144,14,0.7463,2.6497,0.1723,2.3313,0.2583,6.3102
fCMR_Siemens_068,14,2.4915,2.9893,0.9089,6.4612,0.942,21.1745
fCMR_Siemens_198,14,2.7026,3.1677,0.3642,1.6684,0.393,4.9919
fCMR_Siemens_018,15,1.3093,2.6505,1.8045,7.7752,2.0073,18.0252
fCMR_Siemens_113,15,3.0318,1.4545,0.0584,5.3176,0.1313,12.9344
fCMR_Siemens_027,15,2.1828,1.664,0.4574,1.4108,0.566,10.974
fCMR_Siemens_006,15,2.0372,2.2006,0.3173,3.5756,0.8479,8.9782
fCMR_Siemens_144,15,2.9329,2.529,0.1312,1.8878,0.1735,5.1084
fCMR_Siemens_068,15,2.6717,2.8841,1.0388,2.9482,1.3532,9.8856
fCMR_Siemens_198,15,2.1063,3.5235,0.4189,0.3145,0.4411,3.0007
fCMR_Siemens_018,16,2.8493,2.6053,1.3728,18.2627,1.5343,39.9243
fCMR_Siemens_113,16,2.9813,2.4242,0.1091,6.6485,0.1595,17.8042
fCMR_Siemens_027,16,3.1118,2.4177,0.272,5.9387,0.4979,15.2817
fCMR_Siemens_006,16,2.6184,2.5695,0.2308,2.491,0.8028,9.822
fCMR_Siemens_144,16,1.477,2.9198,0.326,1.0712,0.4144,10.1854
fCMR_Siemens_068,16,2.5911,2.2206,1.0359,2.4691,1.1331,9.0496
fCMR_Siemens_198,16,2.8067,2.3632,0.3064,1.4257,0.3415,4.9823
fCMR_Siemens_018,17,3.1059,2.0913,1.471,14.0815,1.5017,33.516
fCMR_Siemens_113,17,2.9478,2.005,0.1003,5.5662,0.1612,12.7685
fCMR_Siemens_027,17,2.2485,2.6442,0.2131,2.033,0.2457,6.6129
fCMR_Siemens_006,17,1.2741,2.7194,0.421,2.5324,0.7935,8.787
fCMR_Siemens_144,17,2.3848,2.6989,0.2321,0.5668,0.8387,3.3012
fCMR_Siemens_068,17,1.9351,2.8141,1.1862,0.6544,1.2073,2.5648
fCMR_Siemens_198,17,2.346,2.8881,0.4128,1.6924,0.4338,6.9712
fCMR_Siemens_018,18,3.0206,2.6229,1.7466,19.6291,1.8268,42.9958
fCMR_Siemens_113,18,3.0954,3.2779,0.1013,4.8533,0.1532,12.5751
fCMR_Siemens_027,18,2.5048,2.8167,0.1625,2.4802,0.1807,6.7442
fCMR_Siemens_006,18,1.8831,2.9773,2.0701,1.9776,1.8753,8.6918
fCMR_Siemens_144,18,1.4594,2.7995,0.187,2.378,0.2085,6.6264
