subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_047,6,2.8176,3.4353,0.2473,0.4603,0.2667,1.8968
fCMR_Philips_057,6,2.769,3.0514,0.2071,0.7634,0.2241,1.9396
fCMR_Philips_097,6,1.2838,1.9633,0.3445,0.5092,0.3538,1.6257
fCMR_Philips_070,6,2.6859,2.7749,0.4386,1.7055,0.4611,4.5722
fCMR_Philips_068,6,2.3322,2.1564,0.2106,0.7307,0.2164,1.9938
fCMR_Philips_117,7,2.5937,0.5292,0.1605,0.6846,0.1708,1.8751
fCMR_Philips_002,7,3.0412,2.3987,0.1652,1.5458,0.1733,3.4462
fCMR_Philips_052,7,2.5906,2.2903,0.1115,0.4017,0.1514,1.3322
fCMR_Philips_123,7,1.7936,2.1087,0.1148,0.0803,0.1314,1.0572
fCMR_Philips_079,7,1.775,2.9489,0.0666,0.3606,0.126,2.3098
fCMR_Philips_041,7,2.2546,2.9437,0.0308,0.2695,0.1027,0.9941
fCMR_Philips_090,7,2.4948,2.0292,0.1533,0.7274,0.1769,2.7423
fCMR_Philips_114,7,2.1347,2.034,0.1716,2.8395,0.1899,6.33
fCMR_Philips_065,7,1.5523,1.8928,0.1528,1.8741,0.1655,4.1944
fCMR_Philips_132,7,2.8689,2.7349,0.1826,2.8793,0.2012,6.4691
fCMR_Philips_031,7,1.711,2.3756,0.1486,0.6221,0.2112,1.9419
fCMR_Philips_104,7,2.639,2.3974,0.0909,3.4869,0.1999,8.2069
fCMR_Philips_094,7,3.0081,2.2715,0.16,0.1846,0.1792,1.1817
fCMR_Philips_136,7,1.4319,3.1578,0.0737,0.3327,0.1102,0.9617
fCMR_Philips_087,7,1.0187,2.5841,0.3784,1.0034,0.3844,2.4915
fCMR_Philips_003,7,1.7515,2.261,0.2475,0.1449,0.2522,0.6026
fCMR_Philips_047,7,1.916,1.8615,0.2607,1.8417,0.2732,4.2735
fCMR_Philips_057,7,2.6023,3.3892,0.2055,1.1259,0.2151,2.9884
fCMR_Philips_097,7,2.3706,3.0276,0.4287,0.5341,0.4513,2.6122
fCMR_Philips_070,7,2.6483,2.838,0.3997,1.0044,0.4021,3.017
fCMR_Philips_068,7,2.7007,2.9163,0.228,0.674,0.2343,1.8622
fCMR_Philips_117,8,1.5799,3.0452,0.1295,0.8839,0.1617,2.4215
fCMR_Philips_002,8,2.8435,2.1167,0.1567,1.3018,0.1662,3.4658
fCMR_Philips_052,8,1.8045,2.3731,0.1344,0.515,0.1615,1.6197
fCMR_Philips_123,8,2.2531,3.1525,0.129,0.411,0.1527,1.5728
fCMR_Philips_079,8,2.6494,2.9427,0.0537,0.1463,0.1174,1.0954
fCMR_Philips_041,8,1.3136,1.5997,0.0429,0.4567,0.1072,1.2772
fCMR_Philips_090,8,2.9783,0.9499,0.1062,0.6857,0.1363,2.0064
fCMR_Philips_114,8,2.1181,2.0601,0.1303,1.889,0.1677,4.4538
fCMR_Philips_065,8,0.9723,1.3809,0.0816,0.968,0.1073,2.6031
